task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,crane_structure,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.12872397899627686,0.012670177966356277
box_inpainting,ibex_horns,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.13079063594341278,0.0178986769169569
box_inpainting,junco,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.1245313286781311,0.006281034555286169
box_inpainting,lakeside_beach,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.12152393907308578,0.004043685272336006
box_inpainting,sea_anemone,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.12624409794807434,0.008284809067845345
box_inpainting,shetland_sheepdog,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.12367244064807892,0.008525620214641094
box_inpainting,breastplate_armor,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12376312911510468,0.007299130782485008
box_inpainting,crane_structure,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.125180184841156,0.009713965468108654
box_inpainting,ibex_horns,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12650176882743835,0.014715127646923065
box_inpainting,junco,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12282731384038925,0.005263419821858406
box_inpainting,lakeside_beach,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12043580412864685,0.003344861324876547
box_inpainting,sea_anemone,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12436003983020782,0.007117375265806913
box_inpainting,shetland_sheepdog,2,7,0.777,653.6610000000001,0.34291666666666665,0.3333333333333333,0.75,128,0.12172975391149521,0.007436607964336872
box_inpainting,breastplate_armor,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.12183339893817902,0.006105414591729641
box_inpainting,crane_structure,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.12212574481964111,0.007457140367478132
box_inpainting,ibex_horns,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.12222127616405487,0.012066029012203217
box_inpainting,junco,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.12122766673564911,0.004320954903960228
box_inpainting,lakeside_beach,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.11943316459655762,0.002784647513180971
box_inpainting,sea_anemone,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.12233893573284149,0.006000745575875044
box_inpainting,shetland_sheepdog,2,8,0.888,686.184,0.2966666666666667,0.3333333333333333,0.75,128,0.11962303519248962,0.006349228322505951
box_inpainting,breastplate_armor,2,9,0.999,718.707,0.2504166666666667,0.3333333333333333,0.75,128,0.11944194883108139,0.004995401948690414
box_inpainting,crane_structure,2,9,0.999,718.707,0.2504166666666667,0.3333333333333333,0.75,128,0.11922841519117355,0.005629870109260082
box_inpainting,ibex_horns,2,9,0.999,718.707,0.2504166666666667,0.3333333333333333,0.75,128,0.11759116500616074,0.009684829972684383
box_inpainting,junco,2,9,0.999,718.707,0.2504166666666667,0.3333333333333333,0.75,128,0.11942699551582336,0.003396144136786461
box_inpainting,lakeside_beach,2,9,0.999,718.707,0.2504166666666667,0.3333333333333333,0.75,128,0.11827277392148972,0.002276873216032982
